,0
203,271932.6999999892
204,271295.2999999892
205,271147.6999999892
206,271147.6999999892
207,270911.6999999893
208,270912.89999998925
209,270903.69999998924
210,272350.0999999892
211,272513.4999999893
212,270916.89999998925
213,271149.09999998927
214,270832.29999998934
215,270851.8999999894
216,270832.29999998934
217,270832.29999998934
218,270832.29999998934
219,270853.2999999893
220,270829.49999998935
221,270829.49999998935
222,270997.49999998935
223,270829.49999998935
224,270767.49999998923
225,270767.49999998923
226,270795.09999998927
227,274476.0999999894
228,270767.49999998923
229,270854.6999999893
230,270826.49999998923
231,270579.29999998934
232,270642.09999998944
233,270579.29999998934
234,270579.29999998934
235,271336.0999999893
236,270417.8999999894
237,271581.4999999894
238,271068.8999999894
239,271352.8999999894
240,270329.0999999893
241,270329.0999999893
242,270175.0999999893
243,270175.0999999893
244,270177.29999998934
245,270814.6999999895
246,270175.0999999893
247,270770.6999999894
248,270175.0999999893
249,270857.8999999894
250,270231.0999999894
251,269880.8999999894
252,270232.8999999894
253,269928.0999999893
254,269880.8999999894
255,270819.49999998935
256,272889.49999998935
257,273978.49999998935
258,269780.49999998935
259,269670.69999998924
260,269676.2999999893
261,269806.2999999893
262,269771.2999999892
263,270648.6999999893
264,270116.09999998927
265,269834.69999998924
266,270407.8999999893
267,269510.89999998925
268,272632.89999998925
269,270470.0999999893
270,269510.89999998925
271,269880.89999998925
272,269399.09999998927
273,269399.09999998927
274,269399.09999998927
275,269813.2999999893
276,269399.09999998927
277,272311.09999998927
278,269415.49999998923
279,272965.6999999893
280,269372.2999999892
281,271308.8999999892
282,270826.2999999893
283,269757.6999999891
284,270296.8999999892
285,269621.2999999891
286,269412.4999999892
287,269703.49999998923
288,269372.2999999892
289,269439.29999998916
290,269305.2999999892
291,269968.89999998925
292,269546.0999999894
293,269297.69999998924
294,269658.89999998925
295,269565.09999998927
296,269591.8999999893
297,269511.09999998927
298,269474.6999999893
299,269461.8999999892
300,270072.49999998923
301,269549.09999998915
302,270077.4999999893
303,269297.69999998924
304,269296.89999998925
305,273071.09999998944
306,269212.89999998925
307,269214.6999999893
308,269212.89999998925
309,269588.6999999893
310,269386.89999998925
311,269212.89999998925
312,269550.29999998934
313,269212.89999998925
314,269212.89999998925
315,269069.0999999893
316,269147.2999999893
317,269238.0999999894
318,269361.69999998936
319,270969.49999998923
320,269069.0999999893
321,269037.0999999893
322,269029.0999999893
323,269033.4999999893
324,269067.2999999893
325,269885.6999999892
326,269297.29999998934
327,269162.4999999892
328,269874.6999999893
329,269029.0999999893
330,269029.0999999893
331,269113.69999998924
332,269008.49999998935
333,270411.4999999892
334,269144.09999998927
335,269080.0999999894
336,269007.69999998936
337,269007.69999998936
338,269415.6999999892
339,272191.8999999894
340,269024.8999999894
341,269125.6999999894
342,269145.09999998927
343,269007.69999998936
344,269344.49999998935
345,269214.89999998925
346,269007.69999998936
347,271027.69999998924
348,269007.69999998936
349,269546.29999998934
350,269007.69999998936
351,269037.8999999894
352,269016.6999999894
353,269273.49999998935
354,271516.8999999893
355,273195.49999998935
356,269030.49999998935
357,268749.6999999893
358,268779.09999998927
359,271074.4999999893
360,268749.6999999893
361,269148.09999998927
362,268809.8999999894
363,268843.29999998945
364,269110.4999999894
365,268747.29999998934
366,268756.0999999894
367,269201.8999999892
368,269347.2999999894
369,269633.89999998925
370,269421.8999999893
371,268712.6999999894
372,268888.29999998934
373,269353.8999999894
374,268924.49999998935
375,269313.2999999894
376,269071.4999999894
377,268693.6999999894
378,268693.6999999894
379,268750.09999998927
380,268717.6999999894
381,268735.4999999894
382,268738.0999999894
383,268779.29999998934
384,268694.89999998943
385,268693.6999999894
386,268803.89999998955
387,268693.6999999894
388,270091.6999999893
389,268918.2999999894
390,268536.4999999894
391,268519.69999998936
392,268588.49999998935
393,269160.29999998916
394,268532.4999999894
395,268269.0999999894
396,268114.0999999893
397,267903.8999999893
398,267903.8999999893
399,267798.6999999893
400,267811.0999999893
401,268055.8999999895
402,267798.6999999893
403,268584.09999998927
404,268162.69999998924
405,268586.4999999893
406,267980.4999999893
407,267797.29999998934
408,267704.2999999894
409,268812.49999998935
410,267736.49999998935
411,268312.0999999893
412,269357.89999998925
413,267840.8999999895
414,267739.6999999893
415,267702.69999998936
416,271681.89999998925
417,267768.2999999894
418,271170.6999999893
419,267702.6999999894
420,267487.69999998936
421,268119.0999999894
422,267845.0999999895
423,268117.89999998943
424,267959.89999998943
425,267497.0999999894
426,268676.09999998944
427,267531.49999998935
428,267538.2999999894
429,267726.0999999894
430,268048.49999998946
431,267491.6999999894
432,267488.8999999894
433,267692.29999998945
434,267837.2999999893
435,267469.29999998934
436,267482.49999998935
437,267717.6999999895
438,268127.89999998943
439,267632.89999998943
440,267384.4999999893
441,270763.29999998934
442,267344.2999999893
443,267427.8999999893
444,267216.4999999894
445,267167.6999999895
446,267167.6999999895
447,268423.0999999894
448,269426.89999998943
449,267891.09999998944
450,267251.69999998936
451,266983.89999998943
452,266814.29999998934
453,267365.69999998936
454,267742.2999999894
455,266823.0999999894
456,266823.69999998936
457,267201.49999998935
458,266814.29999998934
459,270192.0999999893
460,266814.29999998934
461,266814.29999998934
462,269942.4999999893
463,267268.29999998934
464,267246.69999998936
465,267089.49999998923
466,269923.8999999894
467,266803.49999998935
468,266884.09999998944
469,267393.0999999893
470,266792.49999998935
471,266792.49999998935
472,266920.2999999893
473,267276.69999998924
474,266776.49999998935
475,266682.89999998943
476,266682.89999998943
477,267882.0999999893
478,267152.29999998945
479,266769.2999999894
480,267254.09999998944
481,266861.49999998935
482,267350.6999999895
483,267691.0999999894
484,267157.89999998943
485,267010.69999998936
486,266951.49999998935
487,266682.89999998943
488,266682.89999998943
489,267004.6999999894
490,266720.69999998936
491,267170.89999998943
492,266732.4999999894
493,266682.89999998943
494,267568.29999998934
495,266970.4999999894
496,266790.8999999893
497,269796.8999999894
498,266855.8999999894
499,269597.69999998936
500,266682.89999998943
501,267698.0999999894
502,266725.09999998944
503,267443.69999998953
504,266681.6999999895
505,267462.4999999894
506,266927.89999998943
507,266923.0999999893
508,266696.89999998955
509,267850.0999999895
510,269672.69999998936
511,267938.49999998946
512,266921.49999998946
513,266730.2999999894
514,266697.6999999895
515,266681.6999999895
516,266726.8999999895
517,266681.6999999895
518,266796.2999999894
519,266786.29999998957
520,266681.6999999895
521,267598.4999999894
522,266567.8999999894
523,267122.2999999893
524,267244.8999999895
525,266434.6999999892
526,266987.8999999893
527,266868.69999998924
528,266489.8999999892
529,266429.0999999892
530,266331.0999999893
531,269998.2999999894
532,266331.0999999893
533,266930.69999998924
534,266331.0999999893
535,266190.6999999895
536,266355.6999999894
537,266247.4999999894
538,266242.29999998945
539,266190.6999999895
540,266661.89999998955
541,266572.6999999894
542,266359.4999999894
543,266301.4999999895
544,267298.6999999894
545,266213.29999998945
546,266190.6999999895
547,266190.6999999895
548,266254.29999998945
549,266141.89999998943
550,266115.2999999894
551,266115.2999999894
552,266796.89999998943
553,266185.2999999894
554,266180.09999998944
555,269479.2999999895
556,266032.89999998943
557,266032.89999998943
558,266275.8999999895
559,266123.2999999894
560,266185.0999999894
561,266881.69999998936
562,265998.09999998944
563,265950.4999999894
564,265950.4999999894
565,265821.09999998944
566,265821.09999998944
567,267698.89999998943
568,265818.6999999895
569,266048.89999998955
570,267117.29999998945
571,266409.6999999895
572,266149.2999999895
573,266907.89999998943
574,265820.0999999895
575,265879.69999998953
576,265818.6999999895
577,266196.4999999895
578,265849.0999999895
579,265818.6999999895
580,266437.2999999894
581,265853.8999999895
582,265686.8999999895
583,265720.49999998946
584,266028.6999999895
585,265808.0999999894
586,265851.29999998945
587,269442.8999999895
588,265616.6999999894
589,265616.6999999894
590,266701.29999998945
591,265745.8999999895
592,265616.6999999894
593,266026.89999998943
594,265551.49999998935
595,265844.69999998936
596,265624.29999998945
597,265712.4999999894
598,265577.0999999894
599,265562.29999998934
600,268463.69999998936
601,265826.69999998936
602,265903.0999999894
603,265865.4999999893
604,265524.0999999894
605,265524.0999999894
606,266062.89999998943
607,265349.49999998935
608,265877.49999998946
609,265350.2999999894
610,265349.49999998935
611,265327.49999998935
612,265327.49999998935
613,265316.29999998934
614,265932.89999998943
615,265894.4999999894
616,265318.8999999893
617,265213.6999999893
618,265818.09999998944
619,265275.6999999893
620,265277.69999998924
621,269095.6999999893
622,265198.09999998927
623,265209.09999998927
624,265198.09999998927
625,265198.09999998927
626,265465.8999999893
